,Mediating Variable,,,,,,CPX2,(CPX),Các giải pháp Green IS hiện tại quá phức tạp so với nhu cầu thực tế của SMEs.,[1] [2] [3] [4] [5]
,,Biến,Câu hỏi (Ví dụ về nội dung),Nguồn (RQ),,,,,,
,,Nhận thức Môi trường (EA),Lãnh đạo DN nhận thức rõ ràng về tác động môi trường từ hoạt động kinh doanh.,RQ4a 33,,,C.Environment context ,,,
,,,Lãnh đạo DN coi việc bảo vệ môi trường là yếu tố sống còn cho sự phát triển lâu dài của DN.,RQ4b 34,,,Mã,Biến,Nhận định,Thang đo (1-5)
,,,,,,,TMS1,Hỗ trợ Lãnh đạo (TMS),Lãnh đạo cấp cao cam kết và ưu tiên các sáng kiến Green IS.,[1] [2] [3] [4] [5]
,Dependent Variables,,,,,,TMS2,(TMS),Lãnh đạo cấp cao cung cấp đủ nguồn lực tài chính cho việc mua sắm và triển khai Green IS.,[1] [2] [3] [4] [5]
,Biến,Kích thước,Câu hỏi (Ví dụ về nội dung),Nguồn (RQ),,,OR1,Nguồn lực Tổ chức (OR),Doanh nghiệp có nguồn vốn và ngân sách đủ để đầu tư vào Green IS.,[1] [2] [3] [4] [5]
,Áp dụng Green IS (GISA),"Ý định (AI), Sử dụng (AU), Hiệu quả (EU)",DN đang có kế hoạch/đã triển khai các ứng dụng Green IS.,RQ4a 35,,,ITC1,Năng lực CNTT (ITC),Đội ngũ nhân viên CNTT của doanh nghiệp có đủ kỹ năng và chuyên môn để quản lý Green IS.,[1] [2] [3] [4] [5]
,,,DN đã sử dụng Green IS trong các hoạt động đo lường/quản lý/giảm thiểu tác động môi trường.,RQ4a 36,,,EC1,Văn hóa Môi trường (EC),Doanh nghiệp có văn hóa thúc đẩy sự bền vững và hành vi có trách nhiệm với môi trường.,[1] [2] [3] [4] [5]
,Hiệu suất Bền vững (SBP),Môi trường (ENP),Việc áp dụng Green IS giúp DN giảm lượng khí thải CO2 / tiêu thụ năng lượng/ tài nguyên.,RQ5a 37,,,,,,
,,Kinh tế (ECP),Việc áp dụng Green IS giúp DN tăng hiệu quả chi phí hoạt động / ROI / doanh thu.,RQ5b 38,,,D. Nhận thức môi trường ,,,
,,Xã hội (SP),Việc áp dụng Green IS giúp cải thiện uy tín công ty / sự hài lòng của nhân viên / quan hệ cộng đồng.,RQ5c 39,,,Mã,Biến,Nhận định,Thang đo (1-5)
,,,,,,,EA1,Nhận thức Môi trường (EA),Lãnh đạo và nhân viên DN nhận thức rõ ràng về tác động tiêu cực của hoạt động kinh doanh lên môi trường.,[1] [2] [3] [4] [5]
,,,,,,,EA2,(EA),Việc bảo vệ môi trường được coi là một trong những ưu tiên chiến lược của doanh nghiệp.,[1] [2] [3] [4] [5]
,,,,,,,,,,
,,,,,,,E. Adoption green is,,,
,,,,,,,Mã,Kích thước,Nhận định,Thang đo (1-5)
,,,,,,,AI1,Ý định Áp dụng (AI),Doanh nghiệp đang có kế hoạch rõ ràng để triển khai Green IS trong 1-2 năm tới (nếu chưa áp dụng).,[1] [2] [3] [4] [5]
,,,,,,,AU1,Mức độ Sử dụng (AU),Green IS đang được sử dụng thường xuyên trong các hoạt động quản lý năng lượng/tài nguyên.,[1] [2] [3] [4] [5]
,,,,,,,EU1,Mức độ Hiệu quả (EU),Green IS giúp doanh nghiệp đạt được mục tiêu giảm thiểu tác động môi trường đã đề ra.,[1] [2] [3] [4] [5]
